epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
101,0.0169,0.9941,0.9938,0.9945,0.0553,0.9862,0.9391,0.9949,0.0256,0.9919,0.9915,0.9924,0.0656,0.9829,0.9258,0.9960
102,0.0307,0.9907,0.9912,0.9902,0.0795,0.9803,0.9108,1.0000,0.0262,0.9919,0.9916,0.9922,0.0709,0.9820,0.9226,0.9956
103,0.0257,0.9926,0.9915,0.9937,0.0758,0.9782,0.9060,0.9988,0.0268,0.9918,0.9916,0.9919,0.0701,0.9824,0.9278,0.9924
104,0.0255,0.9916,0.9925,0.9908,0.0940,0.9812,0.9136,0.9987,0.0269,0.9918,0.9916,0.9919,0.0661,0.9828,0.9351,0.9882
105,0.0335,0.9904,0.9895,0.9912,0.0297,0.9908,0.9900,0.9648,0.0265,0.9919,0.9918,0.9920,0.0661,0.9815,0.9331,0.9866
106,0.0190,0.9931,0.9935,0.9927,0.0273,0.9925,0.9763,0.9880,0.0263,0.9921,0.9919,0.9923,0.0692,0.9792,0.9239,0.9885
107,0.0265,0.9926,0.9923,0.9930,0.1703,0.9468,0.7961,0.9963,0.0265,0.9921,0.9918,0.9924,0.0642,0.9801,0.9251,0.9910
108,0.0307,0.9914,0.9913,0.9915,0.0328,0.9887,0.9511,0.9922,0.0262,0.9920,0.9916,0.9925,0.0492,0.9847,0.9426,0.9913
109,0.0265,0.9919,0.9910,0.9927,0.0135,0.9955,0.9829,0.9950,0.0253,0.9920,0.9915,0.9925,0.0353,0.9893,0.9633,0.9880
110,0.0224,0.9923,0.9913,0.9933,0.0323,0.9920,0.9694,0.9942,0.0244,0.9920,0.9916,0.9923,0.0294,0.9912,0.9765,0.9814
111,0.0224,0.9926,0.9930,0.9923,0.0261,0.9925,0.9911,0.9714,0.0241,0.9918,0.9916,0.9921,0.0297,0.9909,0.9823,0.9722
112,0.0259,0.9909,0.9905,0.9912,0.0269,0.9902,0.9848,0.9664,0.0240,0.9918,0.9915,0.9921,0.0334,0.9894,0.9843,0.9618
113,0.0250,0.9912,0.9912,0.9912,0.0239,0.9935,0.9791,0.9869,0.0237,0.9920,0.9917,0.9924,0.0374,0.9880,0.9837,0.9545
114,0.0223,0.9927,0.9920,0.9935,0.0719,0.9759,0.9970,0.8770,0.0236,0.9923,0.9919,0.9928,0.0379,0.9879,0.9805,0.9573
115,0.0206,0.9930,0.9925,0.9935,0.0254,0.9915,0.9785,0.9785,0.0240,0.9926,0.9921,0.9931,0.0344,0.9892,0.9760,0.9685
116,0.0281,0.9914,0.9908,0.9920,0.0303,0.9923,0.9607,1.0000,0.0240,0.9930,0.9925,0.9935,0.0305,0.9904,0.9734,0.9782
117,0.0246,0.9937,0.9937,0.9937,0.0260,0.9917,0.9689,0.9881,0.0231,0.9935,0.9930,0.9940,0.0284,0.9911,0.9733,0.9822
118,0.0241,0.9935,0.9923,0.9947,0.0269,0.9895,0.9889,0.9605,0.0216,0.9939,0.9935,0.9944,0.0274,0.9916,0.9737,0.9851
119,0.0183,0.9949,0.9950,0.9948,0.0324,0.9908,0.9613,0.9937,0.0209,0.9941,0.9937,0.9945,0.0267,0.9923,0.9736,0.9889
120,0.0150,0.9950,0.9943,0.9957,0.0234,0.9950,0.9765,0.9987,0.0217,0.9938,0.9935,0.9942,0.0280,0.9922,0.9724,0.9900
121,0.0256,0.9933,0.9935,0.9930,0.0194,0.9942,0.9783,0.9939,0.0232,0.9934,0.9931,0.9938,0.0353,0.9900,0.9688,0.9831
122,0.0270,0.9925,0.9915,0.9935,0.0202,0.9950,0.9825,0.9941,0.0238,0.9933,0.9929,0.9936,0.0491,0.9854,0.9639,0.9660
123,0.0245,0.9924,0.9927,0.9920,0.0662,0.9817,0.9176,0.9962,0.0233,0.9934,0.9930,0.9938,0.0624,0.9809,0.9620,0.9456
124,0.0206,0.9950,0.9943,0.9958,0.1041,0.9646,0.9985,0.8257,0.0226,0.9935,0.9931,0.9940,0.0662,0.9791,0.9654,0.9334
125,0.0237,0.9929,0.9925,0.9933,0.0632,0.9830,0.9262,0.9963,0.0225,0.9935,0.9930,0.9939,0.0596,0.9807,0.9736,0.9324
126,0.0173,0.9951,0.9945,0.9958,0.0510,0.9807,0.9973,0.9075,0.0228,0.9933,0.9929,0.9937,0.0483,0.9839,0.9826,0.9382
127,0.0299,0.9904,0.9900,0.9908,0.0461,0.9842,0.9986,0.9208,0.0229,0.9932,0.9929,0.9936,0.0380,0.9871,0.9873,0.9483
128,0.0225,0.9945,0.9940,0.9950,0.0157,0.9950,0.9951,0.9808,0.0226,0.9933,0.9930,0.9936,0.0311,0.9894,0.9873,0.9593
129,0.0172,0.9941,0.9945,0.9937,0.0390,0.9859,0.9715,0.9566,0.0227,0.9933,0.9930,0.9935,0.0274,0.9906,0.9859,0.9670
130,0.0246,0.9929,0.9923,0.9935,0.0169,0.9958,0.9881,0.9894,0.0235,0.9930,0.9927,0.9933,0.0257,0.9911,0.9842,0.9717
131,0.0253,0.9925,0.9918,0.9932,0.0308,0.9882,0.9974,0.9451,0.0241,0.9927,0.9925,0.9929,0.0257,0.9912,0.9800,0.9768
132,0.0244,0.9933,0.9933,0.9933,0.0144,0.9937,0.9758,0.9938,0.0240,0.9926,0.9926,0.9926,0.0276,0.9910,0.9737,0.9824
133,0.0265,0.9905,0.9912,0.9898,0.0360,0.9895,0.9599,0.9903,0.0235,0.9927,0.9927,0.9927,0.0306,0.9906,0.9682,0.9857
134,0.0183,0.9942,0.9940,0.9945,0.0335,0.9908,0.9665,0.9873,0.0234,0.9929,0.9928,0.9929,0.0339,0.9898,0.9656,0.9845
135,0.0240,0.9935,0.9933,0.9937,0.0248,0.9915,0.9705,0.9875,0.0239,0.9929,0.9928,0.9931,0.0370,0.9889,0.9664,0.9788
136,0.0256,0.9919,0.9915,0.9923,0.0511,0.9874,0.9411,0.9974,0.0242,0.9930,0.9929,0.9932,0.0377,0.9885,0.9707,0.9728
137,0.0257,0.9926,0.9930,0.9923,0.0484,0.9815,0.9933,0.9151,0.0240,0.9933,0.9931,0.9935,0.0348,0.9894,0.9748,0.9728
138,0.0231,0.9944,0.9935,0.9952,0.0245,0.9942,0.9782,0.9938,0.0235,0.9935,0.9934,0.9936,0.0314,0.9906,0.9739,0.9796
139,0.0228,0.9941,0.9940,0.9942,0.0142,0.9957,0.9949,0.9837,0.0230,0.9934,0.9936,0.9933,0.0309,0.9909,0.9677,0.9876
140,0.0209,0.9931,0.9937,0.9925,0.0424,0.9880,0.9391,1.0000,0.0226,0.9934,0.9937,0.9930,0.0322,0.9906,0.9621,0.9922
141,0.0279,0.9919,0.9922,0.9915,0.0385,0.9875,0.9499,0.9929,0.0218,0.9935,0.9940,0.9930,0.0329,0.9906,0.9610,0.9936
142,0.0174,0.9945,0.9955,0.9935,0.0272,0.9930,0.9695,0.9962,0.0212,0.9936,0.9941,0.9932,0.0349,0.9906,0.9606,0.9936
143,0.0196,0.9945,0.9947,0.9942,0.0242,0.9933,0.9772,0.9885,0.0216,0.9935,0.9938,0.9932,0.0410,0.9895,0.9555,0.9936
144,0.0203,0.9934,0.9937,0.9930,0.0365,0.9902,0.9571,0.9949,0.0231,0.9930,0.9931,0.9930,0.0498,0.9873,0.9460,0.9939
145,0.0251,0.9931,0.9930,0.9933,0.0907,0.9807,0.9089,0.9987,0.0249,0.9923,0.9921,0.9925,0.0570,0.9849,0.9364,0.9940
146,0.0278,0.9917,0.9913,0.9922,0.0177,0.9935,0.9802,0.9875,0.0263,0.9917,0.9912,0.9922,0.0596,0.9833,0.9310,0.9939
147,0.0263,0.9895,0.9893,0.9898,0.1163,0.9657,0.8573,0.9988,0.0274,0.9914,0.9908,0.9921,0.0562,0.9837,0.9338,0.9938
148,0.0255,0.9930,0.9915,0.9945,0.0317,0.9895,0.9584,0.9914,0.0283,0.9914,0.9906,0.9921,0.0492,0.9858,0.9425,0.9937
149,0.0317,0.9907,0.9903,0.9912,0.0373,0.9905,0.9621,0.9941,0.0288,0.9914,0.9906,0.9921,0.0456,0.9869,0.9473,0.9936
